squadId,scoreName,shotOutcome,shotCount
Fever,2pt Miss,False,159
Fever,goal,True,783
Fever,miss,False,24
Fever,2pt Goal,True,168
Firebirds,goal,True,622
Firebirds,2pt Miss,False,207
Firebirds,2pt Goal,True,179
Firebirds,miss,False,87
GIANTS,2pt Goal,True,315
GIANTS,2pt Miss,False,254
GIANTS,goal,True,409
GIANTS,miss,False,37
Lightning,2pt Miss,False,152
Lightning,2pt Goal,True,162
Lightning,miss,False,68
Lightning,goal,True,634
Magpies,2pt Goal,True,159
Magpies,2pt Miss,False,140
Magpies,miss,False,47
Magpies,goal,True,590
Swifts,miss,False,62
Swifts,goal,True,545
Swifts,2pt Miss,False,176
Swifts,2pt Goal,True,201
Thunderbirds,miss,False,48
Thunderbirds,goal,True,527
Thunderbirds,2pt Miss,False,170
Thunderbirds,2pt Goal,True,167
Vixens,miss,False,60
Vixens,goal,True,527
Vixens,2pt Miss,False,176
Vixens,2pt Goal,True,194
