shotTendency,mean,std,squadId
All Out,1.1362898809523923,0.42921005748561947,All Teams
High,1.101557738095237,0.3710854840193766,All Teams
Low,1.0342666666666607,0.2144170441135496,All Teams
Moderate,1.0688187499999968,0.3035773131550534,All Teams
Zero,1.0,0.0,All Teams
All Out,1.0706428571428563,0.38933592399548,Fever
High,1.0551523809523826,0.33748367074146396,Fever
Low,1.026307142857143,0.20034452935326127,Fever
Moderate,1.0397190476190477,0.2786279697751214,Fever
Zero,1.0,0.0,Fever
All Out,1.0341761904761904,0.41571229170655527,Firebirds
High,1.0315928571428588,0.36294371141514076,Firebirds
Low,1.008576190476191,0.2065135854859005,Firebirds
Moderate,1.0196809523809536,0.3002233190813656,Firebirds
Zero,1.0,0.0,Firebirds
All Out,1.2334333333333336,0.4248993037264197,GIANTS
High,1.171916666666666,0.37729233921649313,GIANTS
Low,1.0637500000000002,0.21954998349078955,GIANTS
Moderate,1.1190499999999988,0.3025208987358552,GIANTS
Zero,1.0,0.0,GIANTS
All Out,1.1487666666666685,0.4197157453115341,Lightning
High,1.1093499999999994,0.3662752631583721,Lightning
Low,1.037516666666668,0.2124607816760952,Lightning
Moderate,1.074733333333334,0.3103046819858325,Lightning
Zero,1.0,0.0,Lightning
All Out,1.148366666666667,0.4425731363074131,Magpies
High,1.1089333333333344,0.37759030265471644,Magpies
Low,1.042350000000001,0.21689197943182123,Magpies
Moderate,1.073216666666667,0.3170797715496373,Magpies
Zero,1.0,0.0,Magpies
All Out,1.1941000000000028,0.4169360770658079,Swifts
High,1.1446499999999993,0.3561571951679366,Swifts
Low,1.042016666666667,0.21050936247989313,Swifts
Moderate,1.0903499999999995,0.29660695629039535,Swifts
Zero,1.0,0.0,Swifts
All Out,1.0781000000000018,0.44834791211149844,Thunderbirds
High,1.0555333333333348,0.387704393732056,Thunderbirds
Low,1.0171833333333338,0.22243110740628438,Thunderbirds
Moderate,1.0431833333333336,0.304482015739879,Thunderbirds
Zero,1.0,0.0,Thunderbirds
All Out,1.1827333333333356,0.4357121074702327,Vixens
High,1.1353333333333342,0.3787949269826864,Vixens
Low,1.0364333333333338,0.22165932461668056,Vixens
Moderate,1.090616666666667,0.3060670171112978,Vixens
Zero,1.0,0.0,Vixens
